Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
,,,,,
Acacia Catechu Gum,,,,1,
Acacia Concinna Fruit Extract,,,,1,
Acacia Dealbata Flower Wax,,,,1,
Acacia Dealbata Leaf extract,Plant extract,,,,
Acacia Decurrens Extract,Astringent,,,1,
Acacia Farnesiana Flower Wax,,,,1,
Acacia Farnesiana Flower/stem Extract,"Viscosity Control,
                                                                    Astringent",,,1,
Acacia Farnesiana Gum,"Viscosity Control,
                                                                    Astringent",,,1-3,
Acacia Senegal Flower/stem Extract,Viscosity Control,,,,
Acacia senegal gum,Viscosity Control,,,2-3,
Acacia Senegal Gum Extract,Viscosity Control,,,1,
Acetamide MEA,Viscosity Control,,,1-4,
Acetic acid,,,,1,
Acetone,Solvent,0,5,3,
Acetyl tributyl citrate,,,,1,
Acetyl triethyl citrate,,,,2,
Acetyl Triethylhexyl Citrate,Emollient,,,,
Acetyl trihexyl citrate,,,,,
Acetylated lanolin,"Antistatic,
                                                                    Emollient,
                                                                    Emulsifier",4,0,1,
Acetylated Lanolin Alcohol,"Viscosity Control,
                                                                    Moisturizer,
                                                                    Emulsifier",4,2,2,
Achillea Millefolium Extract,Anti-inflammatory,,,2,
Acid blue 9,Pigment,,,,
Acid orange 3,Pigment,,,,
Acid Orange 7,Pigment,,,2-5,
Acid red 92,Pigment,,,,
Acid violet 43,Pigment,,,10,
Acid Yellow 1,Pigment,,,1-4,
Acid yellow 3,Pigment,,,2-7,
Acrylates Copolymer,Antistatic,,,1-2,
Acrylates/ammonium methacrylate copolymer,Antistatic,,,1-2,
Acrylates/dimethiconol Acrylate Copolymer,,,,,
Acrylates/Hydroxyesters Acrylates Copolymer,,,,1-2,
Acrylates/steareth-20 methacrylate copolymer,Viscosity Control,,,1-2,
Acrylates/steareth-50 acrylate copolymer,Viscosity Control,,,,
Acrylates/VA copolymer,Viscosity Control,,,,
Acrylates/VP Copolymer,,,,1,
Adipic Acid Dihydrazide,Moisturizer,,,,
Aesculus Hippocastanum Seed Extract,,,,1,
Alanine,"Antistatic,
                                                                    Moisturizer",,,1,
Alcloxa,,,,2-3,
Aldioxa,,,,1,
Aleurites Moluccana Seed Oil,,,,1,
Allantoin,"Anti-inflammatory,
                                                                    Anti-allergic",0,0,1,
Allantoin ascorbate,,,,1,
Allantoin biotin,,,,,
Allantoin galacturonic acid,,,,,
Allantoin glycyrrhetinic acid,,,,1,
Allantoin Panthenol,,,,1,
Allantoin polygalacturonic acid,,,,,
Aloe Andongensis Leaf Extract,Moisturizer,,,,
Aloe Andongensis Leaf Juice,Moisturizer,,,,
Aloe Arborescens Leaf Extract,Moisturizer,,,1-3,
Aloe Arborescens Leaf Juice,Plant extract,,,,
Aloe Barbadensis Flower Extract,Emollient,,,1-3,
Aloe Barbadensis Leaf,,,,1-3,
Aloe Barbadensis Leaf Extract,"Moisturizer,
                                                                    Emollient",,,1-3,
Aloe Barbadensis Leaf Juice,,,,1-3,
Aloe Barbadensis Leaf Polysaccharides,"Moisturizer,
                                                                    Emollient",,,1-3,
Aloe Barbadensis Leaf Water,,,,1-3,
Aloe Ferox Leaf Extract,,,,1-2,
Aloe Ferox Leaf Juice,,,,,
Aloe Ferox Leaf Juice Extract,,,,1,
Alpha-isomethyl ionone,Fragrance,,,3-5,
Alumina,Viscosity Control,,,2,
Alumina Magnesium Metasilicate,Viscosity Control,,,1,
Aluminum acetate,,,,,
Aluminum Acetate Solution,Astringent,,,,
Aluminum Calcium Sodium Silicate,,,,1,
Aluminum Chloride,Astringent,,,3-5,
Aluminum Chlorohydrate,Astringent,,,2-3,
Aluminum chlorohydrex,,,,,
Aluminum chlorohydrex peg,,,,,
Aluminum chlorohydrex pg,,,,,
Aluminum citrate,,,,,
Aluminum dichlorohydrate,,,,,
Aluminum dichlorohydrex peg,,,,,
Aluminum dichlorohydrex pg,,,,,
Aluminum dimyristate,Viscosity Control,,,1,
Aluminum distearate,Viscosity Control,,,2,
Aluminum hydroxide,Viscosity Control,,,1,
Aluminum Iron Silicates,,,,,
Aluminum isostearates/myristates,Viscosity Control,,,,
Aluminum Myristate,Viscosity Control,,,,
Aluminum myristates/palmitates,Viscosity Control,,,,
Aluminum Powder,Pigment,,,4-9,
Aluminum sesquichlorohydrate,,,,1-3,
Aluminum sesquichlorohydrex peg,,,,,
Aluminum sesquichlorohydrex pg,,,,,
Aluminum silicate,Pigment,,,1-3,
Aluminum starch octenylsuccinate,Viscosity Control,,,1-2,
Aluminum stearate,"Pigment,
                                                                    Viscosity Control",,,1,
Aluminum sulfate,,,,2,
Aluminum tristearate,"Viscosity Control,
                                                                    Emollient",,,1,
Aluminum zirconium octachlorohydrate,,,,,
Aluminum zirconium octachlorohydrex gly,,,,1-3,
Aluminum zirconium pentachlorohydrate,,,,2,
Aluminum zirconium pentachlorohydrex gly,,,,1-3,
Aluminum zirconium tetrachlorohydrate,,,,,
Aluminum zirconium trichlorohydrate,,,,1-3,
Aluminum zirconium trichlorohydrex gly,,,,1-3,
Amino bispropyl dimethicone,Emulsifier,,,,
Aminomethyl propanediol,,,,1,
Aminomethyl propanol,,,,1-3,
Aminopropyl Dimethicone,Emollient,,,1,
Ammonia,,,,2-6,
Ammonium acrylates copolymer,"Viscosity Control,
                                                                    Antistatic",,,1-2,
Ammonium alum,,,,1,
Ammonium bisulfite,Preservative,,,,
